Timestamp,Bar,Direction,FastGradient,FastEMA,SlowEMA,Close,MaxFavorableMove,BarsToPeak,BlockedReason,Status
2025-11-21 10:29:30,1138,SHORT,-0.9740,24141.88,24142.88,24137.50,0.00,0,"ADX<18(14.0)|GradStab>1.46(1.723)|ATR>13.57(13.97)|RSI<50.0(47.4) ADX:14.0 ATR:13.97 RSI:47.4 GradStab:1.723 BW:0.0000 Accel:-1.026,0,1138",MISSED_FLAT
2025-11-21 10:30:30,1140,LONG,0.8514,24144.17,24143.97,24148.00,7.75,2,"ADX<18(12.7)|ATR>13.57(13.66) ADX:12.7 ATR:13.66 RSI:52.1 GradStab:1.405 BW:0.0000 Accel:+1.417,0,1140",MISSED_FLAT
2025-11-21 10:31:30,1142,LONG,1.9159,24147.13,24145.57,24155.75,0.00,0,"ADX<18(11.9)|ATR>13.57(13.61) ADX:11.9 ATR:13.61 RSI:55.3 GradStab:1.340 BW:0.0001 Accel:+2.054,0,1142",MISSED_FLAT
2025-11-21 10:41:30,1162,SHORT,-1.0800,24141.36,24141.70,24136.50,0.00,0,"ADX<18(13.2)|GradStab>1.46(1.658)|RSI<50.0(46.6) ADX:13.2 ATR:12.52 RSI:46.6 GradStab:1.658 BW:0.0000 Accel:-2.396,0,1162",MISSED_FLAT
2025-11-21 10:42:00,1163,LONG,0.8353,24144.24,24143.27,24148.00,0.00,0,"ADX<18(13.6)|GradStab>1.46(1.631) ADX:13.6 ATR:12.75 RSI:52.8 GradStab:1.631 BW:0.0000 Accel:+1.915,0,1163",MISSED_FLAT
2025-11-21 10:52:00,1183,LONG,2.1455,24173.85,24168.49,24183.50,0.00,0,"ADX<18(15.5)|GradStab>1.46(2.004) ADX:15.5 ATR:11.70 RSI:60.6 GradStab:2.004 BW:0.0002 Accel:+2.205,0,1183",MISSED_FLAT
2025-11-21 11:07:30,1214,LONG,1.4430,24198.01,24197.35,24204.50,0.00,0,"ADX<18(16.8) ADX:16.8 ATR:9.04 RSI:58.0 GradStab:0.860 BW:0.0000 Accel:+1.427,0,1214",MISSED_FLAT
2025-11-21 11:28:30,1256,SHORT,-0.5632,24128.03,24137.81,24125.50,0.00,0,"RSI<50.0(38.6) ADX:45.9 ATR:11.30 RSI:38.6 GradStab:1.190 BW:0.0004 Accel:-0.703,0,1256",MISSED_FLAT
2025-11-21 11:33:30,1266,SHORT,-1.2875,24124.29,24129.28,24118.50,0.00,0,"RSI<50.0(39.1) ADX:28.0 ATR:10.99 RSI:39.1 GradStab:0.672 BW:0.0002 Accel:-1.456,0,1266",MISSED_FLAT
2025-11-21 11:52:30,1304,SHORT,-0.9199,24076.64,24078.85,24072.50,0.00,0,"RSI<50.0(42.2) ADX:23.0 ATR:9.46 RSI:42.2 GradStab:0.865 BW:0.0001 Accel:-0.922,0,1304",MISSED_FLAT
