ts_local,event_type,bar_index,signal_type,action_reason,notes
2025-11-19 16:23:30.000,PLOT,1846,BULL,Triangle drawn on chart,netflow=3.07
2025-11-19 16:24:00.000,LOGGED,1847,BULL,Written to signals CSV,"price=24639.50,netflow=3.07"
2025-11-19 16:26:30.000,PLOT,1852,BEAR,Triangle drawn on chart,netflow=-0.50
2025-11-19 16:27:00.000,LOGGED,1853,BEAR,Written to signals CSV,"price=24635.00,netflow=-0.50"
2025-11-19 16:35:00.000,PLOT,1869,BULL,Triangle drawn on chart,netflow=2.00
2025-11-19 16:35:30.000,LOGGED,1870,BULL,Written to signals CSV,"price=24631.00,netflow=2.00"
2025-11-19 16:35:30.000,PLOT,1870,BEAR,Triangle drawn on chart,netflow=1.60
2025-11-19 16:36:00.000,LOGGED,1871,BEAR,Written to signals CSV,"price=24631.25,netflow=1.60"
2025-11-19 16:36:00.000,PLOT,1871,BULL,Triangle drawn on chart,netflow=4.33
2025-11-19 16:36:30.000,LOGGED,1872,BULL,Written to signals CSV,"price=24669.25,netflow=4.33"
2025-11-19 17:25:00.000,PLOT,1969,BEAR,Triangle drawn on chart,netflow=-0.50
2025-11-19 17:25:30.000,LOGGED,1970,BEAR,Written to signals CSV,"price=24948.50,netflow=-0.50"
2025-11-19 17:25:30.000,PLOT,1970,BULL,Triangle drawn on chart,netflow=2.36
2025-11-19 17:26:00.000,LOGGED,1971,BULL,Written to signals CSV,"price=24965.25,netflow=2.36"
2025-11-19 17:26:30.000,PLOT,1972,BEAR,Triangle drawn on chart,netflow=-0.50
2025-11-19 17:27:00.000,LOGGED,1973,BEAR,Written to signals CSV,"price=24941.00,netflow=-0.50"
2025-11-19 17:27:30.000,PLOT,1974,BULL,Triangle drawn on chart,netflow=2.00
2025-11-19 17:28:00.000,LOGGED,1975,BULL,Written to signals CSV,"price=24950.25,netflow=2.00"
2025-11-19 17:30:00.000,PLOT,1979,BEAR,Triangle drawn on chart,netflow=2.32
2025-11-19 17:30:30.000,LOGGED,1980,BEAR,Written to signals CSV,"price=24964.00,netflow=2.32"
2025-11-19 17:30:30.000,PLOT,1980,BULL,Triangle drawn on chart,netflow=2.18
2025-11-19 17:31:00.000,LOGGED,1981,BULL,Written to signals CSV,"price=24954.25,netflow=2.18"
2025-11-19 17:32:00.000,PLOT,1983,BEAR,Triangle drawn on chart,netflow=-0.50
2025-11-19 17:32:30.000,LOGGED,1984,BEAR,Written to signals CSV,"price=24926.50,netflow=-0.50"
2025-11-19 17:33:00.000,PLOT,1985,BULL,Triangle drawn on chart,netflow=0.00
2025-11-19 17:33:30.000,LOGGED,1986,BULL,Written to signals CSV,"price=24942.75,netflow=0.00"
2025-11-19 17:35:30.000,PLOT,1990,BEAR,Triangle drawn on chart,netflow=0.50
2025-11-19 17:36:00.000,LOGGED,1991,BEAR,Written to signals CSV,"price=24933.00,netflow=0.50"
2025-11-19 18:21:30.000,PLOT,2082,BULL,Triangle drawn on chart,netflow=2.00
2025-11-19 18:22:00.000,LOGGED,2083,BULL,Written to signals CSV,"price=24735.25,netflow=2.00"
2025-11-19 18:24:30.000,PLOT,2088,BEAR,Triangle drawn on chart,netflow=0.50
2025-11-19 18:25:00.000,LOGGED,2089,BEAR,Written to signals CSV,"price=24711.25,netflow=0.50"
2025-11-19 18:29:00.000,PLOT,2097,BULL,Triangle drawn on chart,netflow=1.50
2025-11-19 18:29:30.000,LOGGED,2098,BULL,Written to signals CSV,"price=24721.00,netflow=1.50"
2025-11-19 18:30:00.000,PLOT,2099,BEAR,Triangle drawn on chart,netflow=1.50
2025-11-19 18:30:30.000,LOGGED,2100,BEAR,Written to signals CSV,"price=24708.00,netflow=1.50"
2025-11-19 18:31:30.000,PLOT,2102,BULL,Triangle drawn on chart,netflow=2.03
2025-11-19 18:32:00.000,LOGGED,2103,BULL,Written to signals CSV,"price=24722.25,netflow=2.03"
2025-11-19 18:32:00.000,PLOT,2103,BEAR,Triangle drawn on chart,netflow=1.00
2025-11-19 18:32:30.000,LOGGED,2104,BEAR,Written to signals CSV,"price=24697.00,netflow=1.00"
2025-11-19 18:43:30.000,PLOT,2126,BULL,Triangle drawn on chart,netflow=1.00
