ts,method,bip,state,instrument,account,msg
2025-11-18 23:21:21.637,ArmOrTightenStop,0,Realtime,MNQ 12-25,Sim101,[Runner] ShortB SL_B -> 24542.75
2025-11-18 23:21:21.741,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:21:21 PM , SL_B , FromEntry=ShortB , State=Accepted , Lmt=0 Stp=24542.75 , Qty=3 Filled=0 , Error=NoError "
2025-11-18 23:21:21.853,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24543.5 guard=24540.25 prev=24542.75
2025-11-18 23:21:21.935,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24543.5 guard=24540.25 prev=24542.75
2025-11-18 23:21:22.114,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24543.5 guard=24540.25 prev=24542.75
2025-11-18 23:21:22.376,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24543.5 guard=24540.25 prev=24542.75
2025-11-18 23:21:22.660,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24543.25 guard=24540 prev=24542.75
2025-11-18 23:21:23.009,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24543.5 guard=24540.25 prev=24542.75
2025-11-18 23:21:23.160,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24544.25 guard=24541 prev=24542.75
2025-11-18 23:21:23.570,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24544.25 guard=24541 prev=24542.75
2025-11-18 23:21:23.769,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24544.75 guard=24541.5 prev=24542.75
2025-11-18 23:21:23.966,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24544.5 guard=24541.25 prev=24542.75
2025-11-18 23:21:24.770,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24544.5 guard=24541.25 prev=24542.75
2025-11-18 23:21:25.487,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24544.25 guard=24541 prev=24542.75
2025-11-18 23:21:25.850,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24545 guard=24541.75 prev=24542.75
2025-11-18 23:21:26.147,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24545 guard=24541.75 prev=24542.75
2025-11-18 23:21:26.795,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24543.5 guard=24540.25 prev=24542.75
2025-11-18 23:21:26.881,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24543.5 guard=24540.25 prev=24542.75
2025-11-18 23:21:27.206,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24543.75 guard=24540.5 prev=24542.75
2025-11-18 23:21:27.368,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24543.75 guard=24540.5 prev=24542.75
2025-11-18 23:21:28.356,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24545 guard=24541.75 prev=24542.75
2025-11-18 23:21:29.061,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24545 guard=24541.75 prev=24542.75
2025-11-18 23:21:29.487,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24543 guard=24539.75 prev=24542.75
2025-11-18 23:21:29.787,ManageRunnerStopsCompact,0,Realtime,MNQ 12-25,Sim101,[RunnerDo] ShortB tighten desired=24542.25 guard=24539 prev=24542.75
2025-11-18 23:21:29.793,OnOrderUpdate,0,Realtime,MNQ 12-25,Sim101,"50,11/18/2025 11:21:29 PM , SL_B , FromEntry=ShortB , State=ChangePending , Lmt=0 Stp=24542.75 , Qty=3 Filled=0 , Error=NoError "
