timestamp,bar,direction,open,high,low,close,openFinal,highFinal,lowFinal,closeFinal,candleType,fastEma,fastEmaGradDeg,volume,bodyPct,upperWick,lowerWick,action,orderName,quantity,price,pnl,reason,prevOpen,prevClose,prevCandleType,allowLongThisBar,allowShortThisBar,trendUpAtDecision,trendDownAtDecision,decisionBarIndex,pendingShortFromGood,pendingLongFromBad,barPattern
2025-12-15 07:08:00.000,873,LONG,25523.7500,25526.0000,25522.7500,25525.5000,25523.7500,25526.0000,25522.7500,25525.5000,good,25524.8686,-2.4543,98,0.538462,0.5000,1.0000,BAR,,1,25523.75,,InTrade,,,,True,False,True,False,873,False,False,
2025-12-15 07:10:00.000,874,LONG,25525.0000,25527.0000,25524.5000,25526.0000,25525.0000,25527.0000,25524.5000,25526.0000,good,25525.2457,19.1074,72,0.400000,1.0000,0.5000,BAR,,1,25523.75,,InTrade,,,,True,False,True,False,874,False,False,
2025-12-15 07:12:00.000,875,LONG,25526.2500,25527.5000,25524.2500,25526.5000,25526.2500,25527.5000,25524.2500,25526.5000,good,25525.6638,21.6836,101,0.076923,1.0000,2.0000,BAR,,1,25523.75,,InTrade,,,,True,False,True,False,875,False,False,
2025-12-15 07:14:00.000,876,LONG,25525.5000,25529.0000,25524.7500,25526.2500,25525.5000,25529.0000,25524.7500,25526.2500,good,25525.8592,17.0531,102,0.176471,2.7500,0.7500,BAR,,1,25523.75,,InTrade,,,,True,False,True,False,876,False,False,
2025-12-15 07:18:00.000,877,FLAT,25527.0000,25527.0000,25523.7500,25525.5000,25527.0000,25527.0000,25523.7500,25525.5000,bad,25525.7395,17.0531,82,-0.461538,0.0000,1.7500,EXIT,Trail stop,1,25522.2500,-3.00,Trail stop,25523.2500,25528.2500,good,True,False,True,False,872,False,False,
2025-12-15 07:16:00.000,877,FLAT,25527.0000,25527.0000,25523.7500,25525.5000,25527.0000,25527.0000,25523.7500,25525.5000,bad,25525.7395,2.1665,82,-0.461538,0.0000,1.7500,BAR,,0,0,,Flat,,,,False,True,True,False,877,False,True,
2025-12-15 07:18:00.000,878,FLAT,25525.2500,25525.7500,25518.5000,25520.0000,25525.2500,25525.7500,25518.5000,25520.0000,bad,25523.8263,-45.4673,356,-0.724138,0.5000,1.5000,BAR,,0,0,,Flat,,,,False,True,True,False,878,False,True,
2025-12-15 07:20:00.000,879,FLAT,25519.5000,25523.7500,25517.5000,25520.0000,25519.5000,25523.7500,25517.5000,25520.0000,good,25522.5509,-57.9026,176,0.080000,3.7500,2.0000,BAR,,0,0,,Flat,,,,True,False,True,False,879,False,True,
2025-12-15 07:22:00.000,880,FLAT,25519.0000,25519.5000,25511.7500,25519.2500,25519.0000,25519.5000,25511.7500,25519.2500,good,25521.4506,-49.9078,479,0.032258,0.2500,7.2500,BAR,,0,0,,Flat,,,,True,False,True,False,880,False,True,
2025-12-15 07:24:00.000,881,FLAT,25520.0000,25523.0000,25519.0000,25522.7500,25520.0000,25523.0000,25519.0000,25522.7500,good,25521.8837,-18.4475,215,0.687500,0.2500,1.0000,BAR,,0,0,,Flat,,,,True,False,True,False,881,False,True,
2025-12-15 07:26:00.000,882,FLAT,25522.2500,25525.7500,25521.2500,25524.2500,25522.2500,25525.7500,25521.2500,25524.2500,good,25522.6725,31.4228,96,0.444444,1.5000,1.0000,BAR,,0,0,,Flat,,,,True,False,True,False,882,False,False,
2025-12-15 07:30:00.000,883,LONG,25525.0000,25527.5000,25523.7500,25526.5000,25525.0000,25527.5000,25523.7500,25526.5000,good,25523.9483,31.4228,165,0.400000,1.0000,1.2500,ENTRY,BarsOnTheFlowLong,1,25526.0000,,TrendUp,25522.2500,25524.2500,good,True,False,True,False,883,False,True,B4G
2025-12-15 07:28:00.000,883,LONG,25525.0000,25527.5000,25523.7500,25526.5000,25525.0000,25527.5000,25523.7500,25526.5000,good,25523.9483,45.9105,165,0.400000,1.0000,1.2500,BAR,,1,25526,,InTrade,,,,True,False,True,False,883,False,False,
2025-12-15 07:32:00.000,884,FLAT,25526.0000,25527.5000,25524.5000,25525.0000,25526.0000,25527.5000,25524.5000,25525.0000,bad,25524.2989,45.9105,147,-0.333333,1.5000,0.5000,EXIT,Trail stop,1,25521.5000,-9.00,Trail stop,25522.2500,25524.2500,good,True,False,True,False,883,False,True,
